Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
14750.0	14800.0	400	400	3
14800.0	14850.0	400	400	3
14850.0	14900.0	400	400	3
14900.0	14950.0	400	400	3
14950.0	15000.0	400	400	3
15000.0	15050.0	400	400	3
15050.0	15100.0	400	400	3
15100.0	15150.0	400	400	3
15150.0	15200.0	400	400	3
15200.0	15250.0	400	400	3
15250.0	15300.0	400	400	3
15300.0	15350.0	400	400	3
15350.0	15400.0	400	400	3
15400.0	15450.0	400	400	3
15450.0	15500.0	400	400	3
15500.0	15550.0	400	400	3
15550.0	15600.0	400	400	3
15600.0	15650.0	400	400	3
15650.0	15700.0	400	400	3
15700.0	15750.0	400	400	3
15750.0	15800.0	400	400	3
15800.0	15850.0	400	400	3
15850.0	15900.0	400	400	3
15900.0	15950.0	400	400	3
15950.0	16000.0	400	400	3
16000.0	16050.0	400	400	3
16050.0	16100.000000000002	400	400	3
16100.000000000002	16149.999999999998	400	400	3
16149.999999999998	16200.0	400	400	3
16200.0	16250.0	400	400	3
16250.0	16300.0	400	400	3
16300.0	16350.000000000002	400	400	3
16350.000000000002	16400.0	400	400	3
16400.0	16450.0	400	400	3
16450.0	16500.0	400	400	3
16500.0	16550.0	400	400	3
16550.0	16600.0	400	400	3
16600.0	16650.0	400	400	3
16650.0	16700.0	400	400	3
16700.0	16750.0	400	400	3
16750.0	16800.0	400	400	3
16800.0	16850.0	400	400	3
16850.0	16900.0	400	400	3
16900.0	16950.0	400	400	3
16950.0	17000.0	400	400	3
17000.0	17050.0	400	400	3
17050.0	17100.0	400	400	3
17100.0	17150.0	400	400	3
17150.0	17200.0	400	400	3
17200.0	17250.0	400	400	3
17250.0	17300.0	400	400	3
17300.0	17350.0	400	400	3
17350.0	17400.0	400	400	3
17400.0	17450.0	400	400	3
17450.0	17500.0	400	400	3
17500.0	17550.0	400	400	3
17550.0	17600.0	400	400	3
17600.0	17650.0	400	400	3
17650.0	17700.0	400	400	3
17700.0	17750.0	400	400	3
17750.0	17800.0	400	400	3
17800.0	17850.0	400	400	3
17850.0	17900.0	400	400	3
17900.0	17950.0	400	400	3
17950.0	18000.0	400	400	3
18000.0	18050.0	400	400	3
18050.0	18100.0	400	400	3
18100.0	18150.0	400	400	3
18150.0	18200.0	200	300	2
18200.0	18250.0	200	300	2
18250.0	18300.0	200	300	2
18300.0	18350.0	200	300	2
18350.0	18400.0	750	500	4
18400.0	18450.0	750	500	4
18450.0	18500.0	750	500	4
18500.0	18550.0	750	500	4
18550.0	18600.0	750	500	4
18600.0	18650.0	750	500	4
18650.0	18700.0	750	500	4
18700.0	18750.0	750	500	4
18750.0	18800.0	750	500	4
18800.0	18850.0	750	500	4
18850.0	18900.0	750	500	4
18900.0	18950.0	750	500	4
18950.0	19000.0	750	500	4
19000.0	19050.0	750	500	4
19050.0	19100.0	750	500	4
19100.0	19150.0	750	500	4
19150.0	19200.0	750	500	4
19200.0	19250.0	750	500	4
19250.0	19300.0	750	500	4
19300.0	19350.0	750	500	4
19350.0	19400.0	750	500	4
19400.0	19450.0	750	500	4
19450.0	19500.0	750	500	4
19500.0	19550.0	750	500	4
19550.0	19600.0	750	500	4
19600.0	19650.0	200	200	3
19650.0	19700.0	200	200	3
19700.0	19750.0	200	200	3
19750.0	19800.0	200	200	3
19800.0	19850.0	750	500	4
19850.0	19900.0	750	500	4
19900.0	19950.0	750	500	4
19950.0	20000.0	750	500	4
20000.0	20050.0	750	500	4
20050.0	20100.0	750	500	4
20100.0	20150.0	750	500	4
20150.0	20200.0	750	500	4
20200.0	20250.0	750	500	4
