UIK;CITY;STREET;HOUSE
97;г. Курск;Анатолия Дериглазова пр-кт;зд27Б
97;г. Курск;Анатолия Дериглазова пр-кт;29
97;г. Курск;Анатолия Дериглазова пр-кт;31
97;г. Курск;Анатолия Дериглазова пр-кт;33
97;г. Курск;Анатолия Дериглазова пр-кт;35
97;г. Курск;Анатолия Дериглазова пр-кт;37
97;г. Курск;Анатолия Дериглазова пр-кт;39
97;г. Курск;Анатолия Дериглазова пр-кт;41
174;г. Курск;Красный Октябрь ул;27
174;г. Курск;Красный Октябрь ул;29
174;г. Курск;Красный Октябрь ул;31
174;г. Курск;Красный Октябрь ул;31А
174;г. Курск;Красный Октябрь ул;33
174;г. Курск;Красный Октябрь ул;35
174;г. Курск;Красный Октябрь ул;37
174;г. Курск;Красный Октябрь ул;39
174;г. Курск;Красный Октябрь ул;41
174;г. Курск;Красный Октябрь ул;43
174;г. Курск;Красный Октябрь ул;47
174;г. Курск;Красный Октябрь ул;51
174;г. Курск;Красный Октябрь ул;55
174;г. Курск;Красный Октябрь ул;57
174;г. Курск;Красный Октябрь ул;57А
174;г. Курск;Красный Октябрь ул;59
174;г. Курск;Красный Октябрь ул;63
174;г. Курск;Красный Октябрь ул;63А
174;г. Курск;Красный Октябрь ул;65
174;г. Курск;Красный Октябрь ул;65А
174;г. Курск;Красный Октябрь ул;69
174;г. Курск;Красный Октябрь ул;75
174;г. Курск;Красный Октябрь ул;77
174;г. Курск;Красный Октябрь ул;77А
174;г. Курск;Красный Октябрь ул;79
174;г. Курск;Красный Октябрь ул;85
174;г. Курск;Малый Пушкарный пер;4А
174;г. Курск;Малый Пушкарный пер;13
174;г. Курск;Малый Пушкарный пер;13А
174;г. Курск;Малый Пушкарный пер;14
174;г. Курск;Малый Пушкарный пер;14А
174;г. Курск;Малый Пушкарный пер;15
174;г. Курск;Малый Пушкарный пер;17
174;г. Курск;Малый Пушкарный пер;17/11
174;г. Курск;Офицерская 1-я ул;1
174;г. Курск;Офицерская 1-я ул;2
174;г. Курск;Офицерская 1-я ул;2А
174;г. Курск;Офицерская 1-я ул;3
174;г. Курск;Офицерская 1-я ул;3А
174;г. Курск;Офицерская 1-я ул;4
174;г. Курск;Офицерская 1-я ул;5
174;г. Курск;Офицерская 1-я ул;6
174;г. Курск;Офицерская 1-я ул;6А
174;г. Курск;Офицерская 1-я ул;6Б
174;г. Курск;Офицерская 1-я ул;6В
174;г. Курск;Офицерская 1-я ул;7
174;г. Курск;Офицерская 1-я ул;8
174;г. Курск;Офицерская 1-я ул;9
174;г. Курск;Офицерская 1-я ул;10
174;г. Курск;Офицерская 1-я ул;11
174;г. Курск;Офицерская 1-я ул;12
174;г. Курск;Офицерская 1-я ул;13
174;г. Курск;Офицерская 1-я ул;14
174;г. Курск;Офицерская 1-я ул;15
174;г. Курск;Офицерская 1-я ул;15А
174;г. Курск;Офицерская 1-я ул;15Б
174;г. Курск;Офицерская 1-я ул;16
174;г. Курск;Офицерская 1-я ул;17
174;г. Курск;Офицерская 1-я ул;18
174;г. Курск;Офицерская 1-я ул;19
174;г. Курск;Офицерская 1-я ул;19А
174;г. Курск;Офицерская 1-я ул;20
174;г. Курск;Офицерская 1-я ул;20А
174;г. Курск;Офицерская 1-я ул;21
174;г. Курск;Офицерская 1-я ул;22
174;г. Курск;Офицерская 1-я ул;23
174;г. Курск;Офицерская 1-я ул;24
174;г. Курск;Офицерская 1-я ул;25
174;г. Курск;Офицерская 1-я ул;26
174;г. Курск;Офицерская 1-я ул;27
174;г. Курск;Офицерская 1-я ул;28
174;г. Курск;Офицерская 1-я ул;29
174;г. Курск;Офицерская 1-я ул;30
174;г. Курск;Офицерская 1-я ул;32
174;г. Курск;Офицерская 1-я ул;34
174;г. Курск;Офицерская 1-я ул;36
174;г. Курск;Офицерская 1-я ул;38
174;г. Курск;Офицерская 1-я ул;38А
174;г. Курск;Офицерская 1-я ул;38Б
174;г. Курск;Офицерская 1-я ул;38В
174;г. Курск;Офицерская 1-я ул;39
174;г. Курск;Офицерская 1-я ул;40
174;г. Курск;Офицерская 1-я ул;41
174;г. Курск;Офицерская 1-я ул;42
174;г. Курск;Офицерская 1-я ул;43
174;г. Курск;Офицерская 1-я ул;44
174;г. Курск;Офицерская 1-я ул;45
174;г. Курск;Офицерская 1-я ул;46
174;г. Курск;Офицерская 1-я ул;47
174;г. Курск;Офицерская 1-я ул;48
174;г. Курск;Офицерская 1-я ул;50
174;г. Курск;Офицерская 1-я ул;51
174;г. Курск;Офицерская 1-я ул;52
174;г. Курск;Офицерская 1-я ул;53
174;г. Курск;Офицерская 1-я ул;54
174;г. Курск;Офицерская 1-я ул;55
174;г. Курск;Офицерская 1-я ул;56
174;г. Курск;Офицерская 1-я ул;57
174;г. Курск;Офицерская 1-я ул;57А
174;г. Курск;Офицерская 1-я ул;57Б
174;г. Курск;Офицерская 1-я ул;57БА
174;г. Курск;Офицерская 1-я ул;58
174;г. Курск;Офицерская 1-я ул;59
174;г. Курск;Офицерская 1-я ул;60
174;г. Курск;Офицерская 1-я ул;61
174;г. Курск;Офицерская 1-я ул;62
174;г. Курск;Офицерская 1-я ул;63
174;г. Курск;Офицерская 1-я ул;63А
174;г. Курск;Офицерская 1-я ул;64
174;г. Курск;Офицерская 1-я ул;65
174;г. Курск;Офицерская 1-я ул;66
174;г. Курск;Офицерская 1-я ул;67
174;г. Курск;Офицерская 1-я ул;67А
174;г. Курск;Офицерская 1-я ул;68
174;г. Курск;Офицерская 1-я ул;69
174;г. Курск;Офицерская 1-я ул;71
174;г. Курск;Офицерская 1-я ул;72
174;г. Курск;Офицерская 1-я ул;73
174;г. Курск;Офицерская 1-я ул;74
174;г. Курск;Офицерская 1-я ул;75
174;г. Курск;Офицерская 1-я ул;76
174;г. Курск;Офицерская 1-я ул;77
174;г. Курск;Офицерская 1-я ул;78
174;г. Курск;Офицерская 1-я ул;80
174;г. Курск;Офицерская 1-я ул;82
174;г. Курск;Офицерская 1-я ул;84
174;г. Курск;Офицерская 1-я ул;86
174;г. Курск;Офицерская 1-я ул;88
174;г. Курск;Офицерская 1-я ул;90
174;г. Курск;Офицерская 1-я ул;92
174;г. Курск;Офицерская 1-я ул;94
174;г. Курск;Офицерская 1-я ул;96
174;г. Курск;Офицерская 1-я ул;98
174;г. Курск;Офицерская 1-я ул;100
174;г. Курск;Офицерская 1-я ул;100А
174;г. Курск;Офицерская 1-я ул;102
174;г. Курск;Офицерская 1-я ул;104
174;г. Курск;Офицерская 1-я ул;106
174;г. Курск;Офицерская 1-я ул;108
174;г. Курск;Офицерская 1-я ул;1/10
174;г. Курск;Офицерская 1-я ул;110
174;г. Курск;Офицерская 1-я ул;110А
174;г. Курск;Офицерская 1-я ул;112
174;г. Курск;Офицерская 1-я ул;114
174;г. Курск;Офицерская 1-я ул;116
174;г. Курск;Офицерская 1-я ул;16/2
174;г. Курск;Офицерская 1-я ул;21/1
174;г. Курск;Офицерская 1-я ул;21/2
174;г. Курск;Офицерская 1-я ул;26/1
174;г. Курск;Офицерская 1-я ул;32/1
174;г. Курск;Офицерская 1-я ул;32/2
174;г. Курск;Офицерская 1-я ул;34/1
174;г. Курск;Офицерская 1-я ул;38В2
174;г. Курск;Офицерская 1-я ул;39/1
174;г. Курск;Офицерская 1-я ул;39/2
174;г. Курск;Офицерская 1-я ул;57Б1
174;г. Курск;Офицерская 1-я ул;57Б2
174;г. Курск;Офицерская 1-я ул;57Б3
174;г. Курск;Офицерская 1-я ул;57Б4
174;г. Курск;Офицерская 1-я ул;57Б5
174;г. Курск;Офицерская 1-я ул;57Б6
