Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
8500.0	8550.0	750	500	2
8550.0	8600.0	750	500	2
8600.0	8650.0	750	500	2
8650.0	8700.0	750	500	2
8700.0	8750.0	750	500	2
8750.0	8800.0	750	500	2
8800.0	8850.0	750	500	2
8850.0	8900.0	750	500	2
8900.0	8950.0	750	500	2
8950.0	9000.0	750	500	2
9000.0	9050.0	100	100	3
9050.0	9100.0	100	100	3
9100.0	9150.0	100	100	3
9150.0	9185.0	100	100	3
